size,sound,type
6.253505687528456,3.2705453054851303,cat
2.7976096381416236,2.6916823300478163,cat
9.72038434166108,0.9937859235937098,cat
4.0248724040119175,0.1032554914445743,cat
9.766279977018701,1.0287615177501523,cat
7.972778768349367,1.3491373940183073,cat
9.946754760570066,1.715978877687491,cat
0.9812141943776822,2.0115735000399164,cat
9.18580385704761,1.4713716906485452,cat
7.872227765352958,3.5198065649901396,cat
2.434874957684434,0.840849500329594,cat
4.58010433982198,2.3101409158327653,cat
2.002134555923347,4.763523072572534,cat
6.483042974047118,4.013922433393704,cat
2.0053759730777543,3.054762844047925,cat
0.9941035107915679,1.4266546260378876,cat
1.9307634541110847,0.974066221644686,cat
3.871268585794485,0.3366592783159196,cat
3.2063535380117156,1.534024547424383,cat
9.834734973227492,1.0193828819593287,cat
8.076856869475954,0.7199858301087253,cat
9.928845552621498,0.23365668680259633,cat
5.081285646288904,3.800900929661366,cat
5.322715763284334,4.113098658487505,cat
9.620907580287863,1.1779967450396245,cat
7.175575550462226,1.526665248785057,cat
6.250892642881417,1.2057195158793814,cat
1.753581188896768,1.4538020860414214,cat
0.8911284419346648,3.9634915085257436,cat
5.0620289748859335,1.0142642365152337,cat
9.939193480676183,4.443127112769203,cat
8.368601281715442,3.85271320862394,cat
5.9122671730687975,0.6113011935400863,cat
2.6092755788035866,2.9310505049184714,cat
1.7094197282443528,4.28361790724442,cat
1.1287124951649536,0.8104754869897661,cat
7.59361888276721,3.0746417947902644,cat
9.831095969500659,3.7873267632969703,cat
7.042675311484955,3.4951879611545724,cat
0.5551288168372672,4.768656318030432,cat
2.466222969331333,0.81186747936109,cat
4.755204629514465,2.769117410142242,cat
1.652257648960476,0.3818617153194964,cat
2.6283937967901783,4.8677291930467,cat
2.918104768557147,4.549723902671155,cat
5.535888417517296,3.534947798238068,cat
1.3600861619888065,2.8173194010091107,cat
5.885596847617983,1.3301982401691737,cat
9.80327062898885,2.408697830445241,cat
5.653690595303876,2.176521863559265,cat
3.359728765068379,0.4286512985078742,dog
6.974885741242346,3.302993592417694,dog
2.232591388158297,1.8009059569614274,dog
8.791137862602193,0.9881796711892997,dog
6.047941171693743,4.195439461802307,dog
0.7554475903001314,2.39566736223129,dog
7.489989288624821,3.5675987349198692,dog
8.217720662379705,1.1939626839732804,dog
2.370253762530205,2.5026743511416734,dog
0.8946755571822992,3.2533700266257704,dog
2.6921785310066024,4.761873961045749,dog
5.5850232121683545,3.835236363355737,dog
9.92142093040558,2.385840864040881,dog
6.485178959237329,1.6827688552593263,dog
0.6236627365082732,0.774531441440482,dog
0.6980066131015153,1.4531301612054035,dog
7.2413666242837085,1.9169046218865398,dog
7.847190431254975,2.803092953547205,dog
6.896964732596591,2.742477658244694,dog
3.7600826360184247,4.7929059177639415,dog
6.854356806444605,0.9447748063285469,dog
0.8037476661770782,4.173402347218328,dog
9.367426724619365,3.058165649264618,dog
8.516780517021967,4.375831499565174,dog
9.271699076718143,3.0022994255351003,dog
5.212028813613231,2.0070168969769204,dog
5.222905106736085,3.969145055249681,dog
8.147435408983284,0.35404089988085896,dog
5.000922487722149,2.8053278761367557,dog
8.267171729594573,1.0879268114285487,dog
2.3288292015586434,0.6850400503059116,dog
0.8446253936638182,1.797959763337521,dog
5.798335685095641,4.265396671436681,dog
8.364374800986877,3.389831472156157,dog
2.818171814027177,3.9063756393516096,dog
6.431128359949293,4.175321723083631,dog
7.336175402467188,4.2572842902935655,dog
0.7452928026319354,0.11700139037304638,dog
5.615153737260718,4.227663298773029,dog
3.12957194475136,3.390450270905131,dog
2.746355526375849,2.4323445099636505,dog
4.744041693293322,3.340011169372316,dog
2.2988056980196916,3.867742025143016,dog
3.3410668904692296,3.486472294118779,dog
1.7168061187923598,0.9367249179064723,dog
7.412166558013742,0.836650205734669,dog
5.959418770231911,1.996776229177166,dog
8.355188997712911,1.5686232265974613,dog
7.300567973858751,4.012631313432607,dog
1.4949006703573964,2.13950918766148,dog
5.102423280476701,2.005624572696064,rabbit
6.8024404375525975,1.7981852780804615,rabbit
2.7366619259487615,1.9855563067385475,rabbit
3.834348645663543,2.0685110002926606,rabbit
7.870322898221631,0.6814558355218026,rabbit
9.830011630213027,0.7321980728729098,rabbit
1.2997452470145325,4.137876695165872,rabbit
5.970353136446825,3.8574578999893916,rabbit
7.530378198315358,2.5598032011400718,rabbit
9.972723119191768,1.6437690980920932,rabbit
3.8021392259893183,0.9158601097508988,rabbit
8.541764666240816,3.22065594073869,rabbit
7.035503132407415,1.7553429056520409,rabbit
4.767777856332989,2.2619611782936486,rabbit
2.833962475209491,0.9692493474082189,rabbit
8.134788576311353,3.207021209579966,rabbit
2.7545964843626827,2.537512247256545,rabbit
8.055290587006372,3.9782650306110923,rabbit
4.455421146909288,2.541630999157001,rabbit
1.8121190278787067,1.8316794122630964,rabbit
8.896610483571912,3.0491535812615145,rabbit
8.087213943792007,3.5109683392999265,rabbit
2.4347537475998706,4.307979885882429,rabbit
2.8939811515141054,2.8212098903655636,rabbit
9.3536242648713,0.6664924405223873,rabbit
8.291902911863932,4.9109058060933695,rabbit
7.004149277606151,0.40560129277479895,rabbit
2.729046010946473,3.495383974297057,rabbit
8.519860800010823,1.5537303667023332,rabbit
0.5904021275146346,1.1003816630778438,rabbit
0.5198379709516974,0.5112176145725227,rabbit
9.03353448958706,3.8531219867514688,rabbit
8.244245011477666,2.3133135601771744,rabbit
9.717257697768185,0.7565094700005937,rabbit
4.412824189058092,2.115613292791074,rabbit
7.261954285907845,3.983930812437623,rabbit
6.509451593186188,2.8297127634330965,rabbit
1.3509378409881716,0.14967874371501536,rabbit
0.5679078521783706,3.0644764815525205,rabbit
7.7629613132300275,1.6684543501157358,rabbit
8.728337503603527,0.49136154907432783,rabbit
0.6803543813546432,3.859846310431282,rabbit
5.988473738350803,4.676145545999649,rabbit
4.61573072442762,3.37899633565158,rabbit
